Title,Author
"Illiad,Odyssey"
Histories,Herodotus
[Plays],Sophocles
[Plays],Aeschyles
"Hippolytus,Bachants
The Peloponesian War,Thucydides
Dialogues,Plato
"Poetics,Physics
Parallel Lives,Plutarch
"Aeneid,Bucolics
Annals,Tacitus
"Metamorphoses,Heroides
The Twelve Caesars,Suetonius
Meditations,Marcus Aurelius
[Poems],Catullus
Discourses,Epictetus
[Plays],Aristophanes
"Historical Miscellany,On the Nature of Animals"
Argonautica,Apollonius Rhodius
Fourteen Byzantine Rulers,Michael Psellus
The Rise and Fall of the Roman Empire,Edward Gibbon
Ecclesiastical History,Eusebius
Consolations of Philosophy,Boethius
Letters,Pliny the Younger
Fragments,Heraclitus
Confessions,St. Augustine
Summa Theologica,Thomas Aquinas
The Little Flowers,St. Francis of Assisi
The Prince,Niccolò Machiavelli
Divide Comedy,Dante Aighieri
Novelle,Franco Sacchetti
"Anthony and Cleopatra,Hamlet
Unknown,François Rabelais
Unknown,Francis Bacon
[Selected Works],Martin Luther
Institutes of the Christian Religion,John Calvin
Essays,Michel de Montaigne
Don Quixote,Miguel de Cervantes
Discourses,René Descartes
Unknown,Benvenuto Cellini
Education of Henry Adams,Henry Adams
The Leviathan,Thomas Hobbes
Thoughts,Blaise Pascal
Paradise Lost,John Milton
Unknown,John Donne
Unknown,Andrew Marvell
Unknown,George Herbert
Unknown,Richard Crashaw
Treatises,Baruch Spinoza
"Charterhouse of Parma,The Red and the Black
Gulliver’s Travels,Jonathan Swift
Tristram Shandy,Laurence Sterne
Dangerous Liasons,Choderlos de Laclos
Persian Letters,Baron de Montesquieu
Second Treatise on Government,John Locke
The Wealth of Nations,Adam Smith
Discourse on Metaphysics,Gottfried Leibniz
Everything,David Hume
Critique of Pure Reason,Immanuel Kant
"Fear and Trembling,Either/Or
"Notes From the Underground,The Possessed"
Democracy in America,Alexis de Tocqueville
"Faust,Italian Journey"
Empire of the Czar,"Astolphe-Louis-Léonor
Mimesis,Eric Auerbach
Conquest of Mexico,William H. Prescott
Labyrinths of Solitude,Octavio Paz:
"The Logic of Scientific Discovery,The Open Society and Its Enemies"
Crowds and Power,Elias Canetti
