Title,Author,Rating,Reviews
Title,Author,No Rating,No reviews,false
Illiad,Unknown,No Rating,No reviews,false
Odyssey,Unknown,No Rating,No reviews,false
Histories,Herodotus,No Rating,No reviews,false
[Plays],Sophocles,No Rating,No reviews,false
[Plays],Aeschyles,No Rating,No reviews,false
"Hippolytus,Bachants,No Rating,cat2,false
The Peloponesian War,Thucydides,No Rating,No reviews,false
Dialogues,Plato,No Rating,pisik,false
"Poetics,Physics,No Rating,No reviews,false
Parallel Lives,Plutarch,No Rating,No reviews,false
"Aeneid,Bucolics,No Rating,No reviews,false
Annals,Tacitus,No Rating,No reviews,false
"Metamorphoses,Heroides,No Rating,No reviews,false
The Twelve Caesars,Suetonius,No Rating,No reviews,false
Meditations,Marcus Aurelius,No Rating,No reviews,false
[Poems],Catullus,No Rating,No reviews,false
Discourses,Epictetus,No Rating,No reviews,false
[Plays],Aristophanes,No Rating,No reviews,false
Historical Miscellany,Unknown,No Rating,No reviews,false
On the Nature of Animals,Unknown,No Rating,No reviews,false
Argonautica,Apollonius Rhodius,No Rating,No reviews,false
Fourteen Byzantine Rulers,Michael Psellus,No Rating,No reviews,false
The Rise and Fall of the Roman Empire,Edward Gibbon,No Rating,No reviews,false
Ecclesiastical History,Eusebius,No Rating,No reviews,false
Consolations of Philosophy,Boethius,No Rating,No reviews,false
Letters,Pliny the Younger,No Rating,No reviews,false
Fragments,Heraclitus,No Rating,No reviews,false
Confessions,St. Augustine,No Rating,No reviews,false
Summa Theologica,Thomas Aquinas,No Rating,No reviews,false
The Little Flowers,St. Francis of Assisi,No Rating,No reviews,false
The Prince,Niccolò Machiavelli,No Rating,No reviews,false
Divide Comedy,Dante Aighieri,No Rating,No reviews,false
Novelle,Franco Sacchetti,No Rating,No reviews,false
"Anthony and Cleopatra,Hamlet,No Rating,No reviews,false
Unknown,François Rabelais,No Rating,No reviews,false
Unknown,Francis Bacon,No Rating,No reviews,false
[Selected Works],Martin Luther,No Rating,No reviews,false
Institutes of the Christian Religion,John Calvin,No Rating,No reviews,false
Essays,Michel de Montaigne,No Rating,No reviews,false
Don Quixote,Miguel de Cervantes,No Rating,No reviews,false
Discourses,René Descartes,No Rating,No reviews,false
Unknown,Benvenuto Cellini,No Rating,No reviews,false
Education of Henry Adams,Henry Adams,No Rating,No reviews,false
The Leviathan,Thomas Hobbes,No Rating,No reviews,false
Thoughts,Blaise Pascal,No Rating,No reviews,false
Paradise Lost,John Milton,No Rating,No reviews,false
Unknown,John Donne,No Rating,No reviews,false
Unknown,Andrew Marvell,No Rating,No reviews,false
Unknown,George Herbert,No Rating,No reviews,false
Unknown,Richard Crashaw,No Rating,No reviews,false
Treatises,Baruch Spinoza,No Rating,No reviews,false
"Charterhouse of Parma,The Red and the Black,No Rating,No reviews,false
Gullivers Travels,Jonathan Swift,No Rating,No reviews,false
Tristram Shandy,Laurence Sterne,No Rating,No reviews,false
Dangerous Liasons,Choderlos de Laclos,No Rating,No reviews,false
Persian Letters,Baron de Montesquieu,No Rating,No reviews,false
Second Treatise on Government,John Locke,No Rating,No reviews,false
The Wealth of Nations,Adam Smith,No Rating,No reviews,false
Discourse on Metaphysics,Gottfried Leibniz,No Rating,No reviews,false
Everything,David Hume,No Rating,No reviews,false
Critique of Pure Reason,Immanuel Kant,No Rating,No reviews,false
"Fear and Trembling,Either/Or,No Rating,No reviews,false
Notes From the Underground,Unknown,No Rating,No reviews,false
The Possessed,Unknown,No Rating,No reviews,false
Democracy in America,Alexis de Tocqueville,No Rating,No reviews,false
Faust,Unknown,No Rating,No reviews,false
Italian Journey,Unknown,No Rating,No reviews,false
Empire of the Czar,Unknown,No Rating,No reviews,false
"Astolphe-Louis-Lonor,Unknown,No Rating,No reviews,false
Mimesis,Eric Auerbach,No Rating,No reviews,false
Conquest of Mexico,William H. Prescott,No Rating,No reviews,false
Labyrinths of Solitude,Octavio Paz:,No Rating,No reviews,false
The Logic of Scientific Discovery,Unknown,No Rating,No reviews,false
The Open Society and Its Enemies,Unknown,No Rating,No reviews,false
Crowds and Power,Elias Canetti,No Rating,No reviews,false
